country,description,variety
Germany,"A dusting of crushed slate and saffron accents this zesty lime and honey kissed Kabinett. It's dancingly light on the palate, but concentrated with swirls of marmalade and orange-peel flavors that extend through a long finish. Drink now through 2025.",Riesling
Germany,"Wildflower and lemon zest brighten this dry, citrusy Pinot Gris. Lip smacking white grapefruit flavors flood the palate, along with a hint of bitter almond. It's a revitalizing white that's ready to drink, but also likely to maintain its fresh, primary flavors through 2017.",Pinot Gris
Germany,Fresh apple and pear flavors are swathed in fresh herbs and citrus peels in this bristling medium-sweet wine. It's lusciously honeyed but finishes long with honed steely precision.,Riesling
Germany,"Pretty floral and apricot aromas brighten savory apple notes on this dry, but intensely honeyed Riesling. Bright and brisk on the palate, with searing lime acidity, it finishes long, with a refreshing spray of green herbs.",Riesling
Germany,"Dried herbs accent notes of lemon and apple on this concentrated off-dry Riesling. The palate builds in intensity, with juicy flavors of peach and tangerine glazed with streaks of honey and wax. The finish is long, with bristling lemon-lime acidity.",Riesling
Germany,"Whiffs of blackberry, bramble and granite seduce throughout this concentrated, brawny Lemberger. The palate is lush, with ripe plum and black cherry flavors anchored by brooding minerality and a bite of firm tannins on the finish. It's lovely now, but should reveal more complexity with 5–7 years in the cellar.",Lemberger
Germany,"Laser-edged mineral tones cut a crystalline edge through this bristling, honey-kissed Kabinett. Equal parts sweet and tart, it packs a punch of crisp tangerine and lemon refreshment.",Riesling
Germany,"Delightfully fun and refreshing, this perlwein, or lightly sparkling white, is Germany's answer to Italian prosecco. Made from Müller-Thurgau grapes, it's gorgeously floral, but with a chalky, earthen tang. Sprightly acidity and a fresh, green touch lends vibrance to a moderately long finish.",Müller-Thurgau
Germany,"A delicate streak of honeycomb gilds layers of yellow peaches, apples and tangerines in this off-dry Riesling. Its concentrated fruitiness is lip smacking, but it's also quite elegant, reverberating long on a steely strike of acidity and minerality. Drink now through 2020.",Riesling
Germany,"Juicy succulent tangerine and yellow peach flavors meld on the palate of this forward fruity off-dry wine. On first taste, it's quite straightforward, but added attention reveals glimmers of spice, saffron and mineral complexities. Drink now through 2024.",Riesling
Germany,"Puckering lime zest and lemon notes are softened by crisp yellow peach and nectarine in this dry, light-bodied Riesling. Racy and brisk, it finishes with an elegant crush of minerals. Drink now.",Riesling
Germany,"Smoke accents ripe yellow peaches on the nose of this intensely penetrating kabinett. The palate shocks with luscious mango and melon flavors, layered with bristling mineral accents. It finishes long, with a reverberating astringency.",Riesling
Germany,"A fresh green-floral touch persists throughout this refreshing dry Silvaner. Light-footed in style, it offers crisp green-plum flavor accented by zippy flashes of lime and lemon zest. The finish is invigorating and brisk.",Silvaner
Germany,"Dark shades of bramble and smoked nuts lend a shadowy mystique to this unusual Schwartzriesling, otherwise known as Pinot Meunier. Full bodied yet elegant, the palate boasts tart blackberry and raspberry flavors framed in finely grained tannins. A rare chance to experience this grape as a single varietal wine.",Schwartzriesling
Germany,"A delicate streak of honeycomb gilds layers of yellow peaches, apples and tangerines in this off-dry Riesling. Its concentrated fruitiness is lip smacking, but it's also quite elegant, reverberating long on a steely strike of acidity and minerality. Drink now through 2020.",Riesling
Germany,Pristine white peaches seem suspended in a crystalline solution of river rocks and mineral water in this refreshing dry Pinot Blanc. It's delicate in stature but abounds in elegance. Drink now through 2020.,Pinot Blanc
Germany,"Delicately perfumed with notes of lemon, tart stone fruit and white florals, this off-dry Riesling builds in intensity and ripeness on the palate. It's lushly textured, with flavors of fleshy peach and apricot that are brightened by lemon-lime acidity.",Riesling
Germany,"Lushly textured and expansive on the palate, this dry Riesling melds flavors of waxy lemon skins with notes of rich honey and saffron. The acidity is sunny and bright, highlighting hints of tangerine and lime on the finish.",Riesling
Germany,"Refreshing aromas of tangerine and lime are laced with petrol on this steely kabinett. Waves of ripe peach and nectarine flavor add delicate sweetness on the palate, accented by savory notes of dried herb and tea leaves. Lemon-lime acidity leads the long finish.",Riesling
Germany,"Enticing aromas of blackberry, bramble and wet leaves meld on the nose of this elegant, nuanced Spätburgunder. It's concentrated and juicy, with black cherry flavor, but invigorated by a stream of laser-like acidity that carries through the finish. It ends with a pretty violet accent.",Spätburgunder
Germany,"Refreshing and full of vitality, this Pinot Gris offsets zesty white grapefruit flavor with a sheen of fresh herb and floral notes. It's a dry, elegant wine, with broad appeal and a youthful vigor that should last through 2016.",Pinot Gris
Germany,"Dark shades of bramble and smoked nuts lend a shadowy mystique to this unusual Schwartzriesling, otherwise known as Pinot Meunier. Full bodied yet elegant, the palate boasts tart blackberry and raspberry flavors framed in finely grained tannins. A rare chance to experience this grape as a single varietal wine.",Schwartzriesling
Germany,"Steel and stones are brightened by tones of lemon and grapefruit in this dry-style wine. It's medium bodied but texturally quite rich, lending a satisfying sensation of volume that adds impact to the finish.",Riesling
Germany,"Long extended veins of bramble and dried herb lend depth to this intensely concentrated Spätburgunder. Youthful and primary, the palate bursts of rich black cherry and berry, but soft tannins and brisk acidity invigorate the finish. It's luscious and forward yet refined. Drink now through 2020.",Spätburgunder
Germany,"Enticing notes of brioche and baker's yeast waft from this brut-style Riesling Sekt. It's perfumed and floral, yet elegantly composed, drenching the palate in waves of fresh grapefruit and lime. Piercing and pristine, it finishes with crystalline precision.",Riesling
Germany,"Lifted honeysuckle and jasmine perfume abound throughout this textbook Mosel Kabinett. Sun-kissed apricots and peaches burst on the palate, yet maintain a graphite edge of minerality and acidity. It's a crystalline fruity wine that's irresistible now for its youthful exuberance.",Riesling
Germany,"Ripe, heady tropical fruit and citrus aromas extend onto the palate of this dry, yet deeply fruity, concentrated Riesling. It's unabashedly juicy, but textured and mineral on the palate, finishing long and with a streak of high-toned acidity.",Riesling
Germany,"Hints of menthol and bramble meld with rich black-plum and cherry notes in this composed Pinot Noir. It's juicy and concentrated in black fruit flavors, but graced with a spray of delicate floral notes and brisk, revitalizing acidity. Soft, fine tannins square off the finish.",Spätburgunder
Germany,"Musky floral, spice and cherry-blossom notes meld in the exuberant bouquet of this aromatic auslese. It's blossomy on the palate as well, and luscious, with sweet peach and yellow cherry flavors. It's unabashedly lavish, but balanced by a streak of citrus acidity and a long, lingering finish.",Riesling
Germany,"Ebullient on the nose, with scents of mango, lemongrass and yellow flowers, this off-dry Riesling is intensely tropical in style, but elegant as well, with searing lime acidity that cuts through layers of juicy, ripe fruit and finishes remarkably dry.",Riesling
Germany,"Whiffs of freshly pressed apples are accented by pretty peach and honeysuckle notes on this dry, refreshing Riesling. The palate is lean in style, with subtle stone-fruit flavors that feel brisk and vivacious against a backdrop of pineapple acidity.",Riesling
Germany,"There's a savory vein of herbs and smoke that persists from start to finish on this deeply fruity auslese, adding a shade of dimension and complexity. It's zippy in lemony acidity, but silky and sweet, with luscious flavors of preserved peach and tangerine.",Riesling
Germany,"Scheurebe, a Riesling hybrid common in Germany and Austria, is a rare find stateside, particularly in dry styles. Zesty lime pith and pineapple flavors are brisk and revitalizing in this light-bodied sip. A touch of fresh herbs and white-tea astringency lend nuance to the crisp finish.",Scheurebe
Germany,"White blossoms and summer peaches persist from nose to finish here. The palate is lusciously sweet, dripping with ripe, rich apricot and tangerine flavors, but a backdrop of lime acidity makes it refreshing too. Drink now through 2021.",Riesling
Germany,"Stridently purple in hue, this bold, richly berried wine deftly blends the spice and smoke of Lemberger with the plush black fruit and bramble of Merlot and Dornfelder. Hints of granite and herb lend elegance but its faint tannins and sunny acidity make it enjoyable now through 2021.",Red Blend
Germany,"Guava and caramelized honey scent this lusciously fruity yet dry Riesling. It's ripe and silken on the palate, but vibrantly structured, finishing on a mouthwatering crush of tangerine flavor. Drink now through 2020.",Riesling
Germany,"Schloss Vollrad's standard-label Kabinett has a distinctly sheer, almost ephemeral lightness. Juicy white peach and grapefruit flavors shine brightly on the palate, but are edged by angularities of acidity and crushed stone. It finishes long with a lingering kiss of sweetness.",Riesling
Germany,"Bramble and dried herbs, pressed apple and peach notes blend elements of savory and sweet in this complex Spätlese. Shimmering lemon-lime acidity refreshes the midpalate, leaving lingering tones of finely crushed mineral.",Riesling
Germany,"While racy and spry, this delicately framed wine packs a punch of honeyed peach and nectarine flavors. It's effusively fresh, floral and fruity, yet accentuated by a crystalline sheen of minerality. Drink now.",Riesling
Germany,"A hint of bramble wafts amidst crisp Asian pear and green apple notes on this invigorating spry Spätlese. Searing lemon-lime acidity is softened by a plump kiss of honeyed apricot on the midpalate. It's elegant, yet accessible, and drinks well now.",Riesling
Germany,"While dry in style and crisply balanced, plump white peaches and apricots shine brightly in this silky Pinot Blanc. It's rich and round with a slightly clingy mouthfeel but not at all cloying or dense. Enjoy now through 2020.",Pinot Blanc
Germany,"While honey and white peach flavors ring pure and sweet, there's a slatey, mineral tone that penetrates deeply in this off-dry Kabinett. It's nervy and brisk, finishing long with zesty lime pith bitterness.",Riesling
Germany,"Profoundly floral, this aromatic white balances ebullient violet and lavender perfume against crisp grapefruit and gooseberry flavors. Made from the Rivaner grape (also known as Müller-Thurgau), it's an exotic, yet dry, refreshing wine. Drink now.",Rivaner
Germany,"Ripe melon and grapefruit flavors are plush and pristine in this forward off-dry Riesling. Zesty tangerine acidity brightens the midpalate and leads a moderately long, sugar-cookie finish. It's a refreshing, fruity quaffer intended for youthful consumption.",Riesling
Germany,"Dry, bold and intensely mineral, this powerful Riesling is lifted by whiffs of lemongrass and mint, along with a shining streak of lemon acidity. It finishes with a bristle of lime zest astringency and a hint of white flower.",Riesling
Germany,"This juicy, fruit-forward Pinot Noir has fresh and primary aromas of ripe blackberries and cherries. Intense cranberry acidity and hints of dark toast and spice add balance and elegance. It's unabashedly pleasant drinking, but structured enough to carry well over the next 3–5 years.",Pinot Noir
Germany,"While honey and white peach flavors ring pure and sweet, there's a slatey, mineral tone that penetrates deeply in this off-dry Kabinett. It's nervy and brisk, finishing long with zesty lime pith bitterness.",Riesling
Germany,"Silky succulent raspberry and cherry flavors are a luscious counterpoint to the razor's edge of acidity that frames this impeccably balanced wine. It's ripe, fruity and forward, yet offers surprising elegance and length. Drink now through 2017.",Pinot Noir
Germany,"Layers of pollen, dusty mineral and spice lend complexity to this concentrated wine full of yellow peach and fresh apple flavors. It's delicate and lithe in texture, yet punchy and penetrating.",Riesling
Germany,"Blossoms and pink grapefruits scent this fresh, fruity wine. Off dry in style, it's concentrated in plush, tropical flavors of guava and mango yet calibrated neatly by a vein of lime acidity. It's guzzably fresh and approachable but refined enough for elegant dining occasions. Drink now through 2019.",Riesling
Germany,"Juicy bursts of ripe blackberry and blueberry are reined in by a firm backbone of acidity and cool herbal swathes in this full-bodied Lemberger. Just softly fringed by tannins, it's an approachable but sophisticated wine to enjoy now through 2020.",Lemberger
Germany,"Unusual notes of lemongrass and pine lend a curious twist to crisp apple, lime and honey tones in this deeply mineral auslese. Piercing acidity shocks the midpalate.",Riesling
Germany,"There's a fresh, green herbal vein to this semisweet Riesling that lends a crisp verve to concentrated peach and apricot flavors. Zesty, lime-tinged acidity leads the long, elegant finish.",Riesling
Germany,"While lush and ripe on the nose, with aromas of stone fruit and citrus, this dry Riesling is remarkably lean and steely on the palate. The lemon-lime acidity is searing, but highlights an intense minerality that lingers through the finish.",Riesling
Germany,"Musky, smoky notes are seductive against a backdrop of ripe peach and preserved quince flavors in this sprightly yet juicy off-dry Riesling. Delicate mineral tones and steely, bracing acidity accentuate the long finish.",Riesling
Germany,"Smoke, spice and earth notes mark this deeply mineral auslese, adding depth and complexity to the sunny palate and peach and apricot flavors. A beautifully executed calibration of savory and sweet, it finishes with a twang of struck steel and lime.",Riesling
Germany,"While dry in style, this bold, intensely concentrated Riesling is rich in notes of sunny peach and honeysuckle. Luscious on the palate, it's cut by a bright line of tangerine acidity that lingers on the finish.",Riesling
Germany,"Waxy lanolin and spice notes add complexity to tart stone-fruit aromas on this sprightly Riesling. Semidry in style, the palate drips with peach nectar flavor, balanced by bracing tangerine acidity. It finishes long, with a refreshing spray of herb notes.",Riesling
Germany,"Whiffs of musk and violet perfume offset ripe peach and tangerine notes on this off-dry, yet intensely fruity Riesling. Bracing lime-tinged acidity and fresh herbal tones lend grace and vitality through the finish. Balanced and elegant in style.",Riesling
Germany,"Char and roasted coffee notes lend a brooding, smoky backdrop to bright red berry and cherry flavors in this full-bodied Pinot Noir. Cranberry acidity bristles the palate, leading a long finish marked by firm but fine tannins. It needs another 3–5 years in the cellar to integrate, but should mature elegantly.",Pinot Noir
Germany,"Char and roasted coffee notes add toasty nuances to ripe black-cherry flavors in this penetrating Pinot Noir. A vein of brisk cranberry acidity runs through the palate, adding zip and verve. It's finely textured, but bold tannins linger on the finish.",Spätburgunder
Germany,"A fantastic bargain at $14, this nuanced wine balances heady saffron and spice notes against a backdrop of ripe mango and yellow cherry flavors. It's lavishly mineral on the midpalate, with striking lemon-lime acidity that drives an elegant, herb-accented finish.",Riesling
Germany,"While dry in style, this late-harvest Riesling seems drizzled in honey and nectar. It's delicately framed, dancing spry across the palate and finishing crisp and bright. It's an elegant invigorating wine that drinks well now but should continue to meld nicely till at least 2024.",Riesling
Germany,"More mineral, perhaps even crystalline, in style compared to Thörle's Saulheimer Probstey Silvaner, this elegant bottling showcases pristine grapefruit and tangerine flavors. It's full bodied yet silky, uplifted by a swathe of freshly cut grass and mint that lingers long on the finish.",Silvaner
Germany,"Juicy bursts of ripe blackberry and blueberry are reined in by a firm backbone of acidity and cool herbal swathes in this full-bodied Lemberger. Just softly fringed by tannins, it's an approachable but sophisticated wine to enjoy now through 2020.",Lemberger
Germany,"Zippy lemon and grapefruit flavors are limned with honey and lanolin in this delicately off-dry Riesling. Vivacious and light-footed, it's a uniquely nuanced wine with a lingering slate-edged finish.",Riesling
Germany,"Ripe red apple and peach notes perfume this zippy off-dry Riesling. Light bodied and lemony fresh, it's invigorating on the palate. Finishes moderately long, accented by whispers of saffron and spice. Drink now through 2020.",Riesling
Germany,"Dusty with earth and saffron aromas, this seemingly savory Silvaner is surprisingly plump and fruity on the palate. Ripe yellow plum and cherry flavors are anchored by bracing lime acidity and a moderately long, mineral finish. Drink now.",Silvaner
Germany,"Racy and revitalizing, this delicate off-dry Riesling balances a core of fresh white peach and citrus flavors with savory smoke and nut tones. Fresh and easy going in style, it's a likely to please a wide audience.",Riesling
Germany,"Savory apple and lemon, earth and bramble tones persist throughout this semisweet Riesling. It's refreshingly crisp and nimble making it an easy everyday pairing for casual chicken or fish dinners at home.",Riesling
Germany,"Woody, smoky notes belie the intensely fruity palate of this medium-sweet Rieslaner. A cross of Riesling and Sylvaner, it carries out the traits of its parents faithfully—aromatic and peachy, yet intensely herbaceous and grassy too. It finishes long, with a streak of sunny, lemon acidity.",Rieslaner
Germany,"Dusty mineral and saffron notes add intensity and spice to superripe, sunny peach and yellow cherry aromas on this semisweet Riesling. It's lavishly fruity on the palate, but layered, with earthy complexity. It finishes long, with a delicately honeyed sweetness that lingers.",Riesling
Germany,"Deeply concentrated, with honeyed yellow-peach and tangerine flavors, this is a gorgeously composed wine, with just a hint of sweetness for balance. Notes of cherry blossom and crushed minerals add complexity and depth. It finishes long, with a delicate, lacy sweetness.",Riesling
Germany,"Zesty evergreen and herb notes lend freshness to notes of Meyer lemon and nectarine in this delicate Riesling. The palate builds in floral, fruity intensity, with bright peach and blossom notes. Delicately sweet yet brisk in lemony acidity, with a long finish.",Riesling
Germany,"Whiffs of earth and musk add a dark complexity to sweet peach and blossom aromas on this superconcentrated spätlese. On the palate, unctuous marmalade is laced with saffron and honey, finishing long and with a streak of tangerine acidity and a murmur of astringency.",Riesling
Germany,"Preserved quince and honeyed apple flavors are accented by streaks of mineral and lime zest on this elegant off-dry Riesling. Tart green apple and fresh herb notes lift the midpalate. It finishes long, but crisp and refreshing.",Riesling
Germany,"While bright cherry and berry aromatics take a bit of aeration and coaxing to flourish, this four-square wine calibrates juicy primary red fruit with cool touches of menthol and cranberry acidity. It's approachably fruity and framed in soft delicate tannins. Drink now.",Dornfelder
Germany,"A chalky slightly saline minerality extends through this lemony fresh wine, accenting plush fruity flavors of apple, peach and pear. It's silky on the palate and refreshing in composure, ideal for elegant and casual entertaining.",Pinot Gris
Germany,"White peach and apple blossoms perfume this dancingly brisk Silvaner. Crisp nectarine and lime penetrate the palate, along with a refreshing sheen of minerality that extends the finish.",Silvaner
Germany,"Racy and tight, this exuberant Riesling sekt juxtaposes fresh lemon and blossom notes against a piercing backbone of acidity. Tiny, persistent bubbles and delicate foam wrap up briskly on the finish.",Riesling
Germany,"Classic notes of lychee and rose petal waft on the nose of this delicate Gewürztraminer. Off dry in style, it's brisk and dancing, offsetting plush, juicy white grapefruit with spice and honey. Finishes briskly on a sugary pastry note.",Gewürztraminer
Germany,"Light as gossamer, this nimble off-dry Riesling enlivens the palate with delicate bursts of lemon and lime accented by blossom and pear. Brisk and clean on the finish, it's best enjoyed for it's youthful refreshment.",Riesling
Germany,"Whiffs of saffron and crushed stone lend an earthy tone to the nose, but the palate of this semidry Riesling is all honey and tangerines. Laser-cut acidity lends precision and lift to a moderately long finish. Quaffable and invigorating.",Riesling
Germany,"Pollen and dusty mineral notes persist from nose to palate, but are mingled into concentrated layers of orange, honey and quince in this light-footed spätlese. Zesty and spry, it finishes brisk and clean. Drink now.",Riesling
Germany,"This balances tart red berry and cherry flavors against a backdrop of warm vanilla and spice tones. It's refreshingly crisp on the palate and finishes long, with a spray of green herbs and fine, lingering tannins. Well balanced and elegant in style.",Spätburgunder
Germany,"Ripe red cherry and raspberry penetrate deeply throughout this sunny, yet briskly composed Pinot Noir. It's approachable and uncomplicated in style, but pristine juicy flavors make it quite quaffable. Drink now.",Pinot Noir
Germany,"Fresh apples and pears seem dusted in a fine mineral powder in this brisk, semisweet Riesling. It's featherlight in texture, darting and dancing alongside a lemon-lime vein of acidity that pierces through the finish.",Riesling
Germany,"Cutting and crisp, this wine is a showcase for the complexities that exist beneath its austere mineral style. On the palate, fresh apple and pear notes are glazed by a crush of wet mineral stones. It's a refreshingly, mouth quenching wine that finishes taut and pristine.",Riesling
Germany,"Delicate aromas of crisp green apples, pear and white peach abound on this lean but concentrated Pinot Gris. Dry and spry, the palate is honed on minerality and refreshment. Enjoy now for its vitality and youth.",Pinot Gris
Germany,"Fresh pineapple, peach and blossom notes contrast spicy dashes of saffron, fennel and pollen throughout this Grauburgunder, or Pinot Gris. Cutting lemon-lime notes lend a razor's edge to palate that's supple and rich. It's an elegantly composed wine with a curious, yet intriguing personality.",Grauburgunder
Germany,"Dusty crushed mineral and smoke tones extend from start to finish in this sprightly off-dry Riesling. The palate balances savory and sweet well, highlighting its sweet red apple, honey and peach tones. The finish is moderately long.",Riesling
Germany,"Vibrant yellow peach, apricot and blossom notes permeate deeply through this light-footed dry Riesling. It's exuberantly primary, yet not at all cloying. Enjoy now for it's youthful vitality.",Riesling
Germany,"While a touch weightier in mouthfeel, Schloss Vollrad's standard-label bottling, this boasts the same peach and pink-grapefruit intensity that's so appealing on the Kabinett. Edged by a lacy fray of sugar, it's lip-smackingly sweet, but irresistably quaffable and neatly balanced by a streak of tangerine acidity. Drink now through 2020.",Riesling
Germany,"Light as gossamer, this nimble off-dry Riesling enlivens the palate with delicate bursts of lemon and lime accented by blossom and pear. Brisk and clean on the finish, it's best enjoyed for it's youthful refreshment.",Riesling
Germany,"Savory apple and lemon, earth and bramble tones persist throughout this semisweet Riesling. It's refreshingly crisp and nimble making it an easy everyday pairing for casual chicken or fish dinners at home.",Riesling
Germany,"Whiffs of saffron and crushed stone lend an earthy tone to the nose, but the palate of this semidry Riesling is all honey and tangerines. Laser-cut acidity lends precision and lift to a moderately long finish. Quaffable and invigorating.",Riesling
Germany,"Classic notes of lychee and rose petal waft on the nose of this delicate Gewürztraminer. Off dry in style, it's brisk and dancing, offsetting plush, juicy white grapefruit with spice and honey. Finishes briskly on a sugary pastry note.",Gewürztraminer
Germany,"Cute packaging belies the surprising depth to this Riesling. It's remarkably balanced, with an array of mineral, floral and fruit dimensions. Juicy, with preserved peach flavors and zippy lemon acidity, it's a thirst-quenching, solid pick from the Pfalz.",Riesling
Germany,"There's a minerally, earthy tone from nose to finish on this medium-sweet Riesling, balanced by a palate that's lush in ripe stone fruit and mango flavors. Sharp, laser-focus acidity kicks in on the midpalate, finishing long, with hints of warm spice and honey.",Riesling
Germany,"Hints of crushed mineral and struck steel lend a honed, linear feel to this dry, medium-bodied Riesling. It's a bit austere in style, but elegantly composed, with intense apple and pear flavors as well as a streak of lemon-lime on the finish.",Riesling
Germany,"While the savory nose leads with subdued notes of apple and lemon, this off-dry Riesling shines on the palate, with juicy stone fruit and yellow cherry flavors. Tangerine acidity adds zip and verve, leading into a finish that's fresh with herbal and floral tones.",Riesling
Germany,"Aromas of green, fresh herbs and lime lend a brassy, vivacious tone that balance out this otherwise ripe, intensely fruity Riesling. It's semisweet in style, with luscious peach and apple flavors.",Riesling
Germany,"Crushed mineral and waxy lanolin notes accent intense tangerine and quince flavors on this juicy off-dry Riesling. It's robust on the palate, yet elegant, with a rippling herbal flair.",Riesling
Germany,"Invigorating white grapefruit and lemons are cast against a deep mineral backdrop in this dry, thirst quenching wine. It's delicate and filigreed on the palate with a brisk, tight finish. Drink now.",Riesling
Germany,"While the nose is a touch earthy and savory, the core of this vivacious Riesling boasts spicy dried orange peels, tangerine and honey. Lemonade acidity leads a moderately long finish. It's a thirst quenching fresh wine to drink young.",Riesling
Germany,"A lacy spray of sweetness extends from start to finish on this fruity, fresh Kabinett. Fresh apple, pear and tangerine are honeyed and lip smacking, energized by a streak of lemonade acidity on the finish.",Riesling
Germany,"Dusty mineral and dried herb notes lend a savory tone to this elegant semisweet Riesling. The palate is intensely fruity, with ripe nectarine and tangerine flavors. It finishes moderately long, with a wet-stone minerality.",Riesling
Germany,"Struck flint and smoke lend shade to exuberant pineapple, mango and citrus flavors in this sprightly, honey-kissed Auslese. It's an approachable but elegant wine invigorated by whiffs of fresh green herbs and a touch of bitter pollen on the finish. A fantastic bargain find.",Riesling
Germany,"While showing a bit tight and closed off, this brisk off-dry Riesling features fresh, tart peach and lemon flavors. It's refreshingly mineral with a honed, steely finish that lingers.",Riesling
Germany,"Shocks of ripe rich yellow peach and pineapple revitalize the palate of this animated off-dry Riesling. Simultaneously bracing and sun-drenched, it's a straightforward yet delectably juicy treat. Enjoy now while young.",Riesling
Germany,"Sun-ripened mango and pineapple flavors lend a lavish, tropical feel to this off-dry Riesling. At the same time, there's a resolute core of acidity that gives it balance and grace. It's concentrated and fruity but maintains vitality and length.",Riesling
Germany,"Brisk and bright, this delicately framed Pinot Noir offers both elegance and thirst-quenching quaffability. It's fresh and primary, bursting of raspberry and blossom, but finishes suprisingly long with a murmur of feathery tannin. Drink now.",Pinot Noir
Germany,"Muskateller is a powerhouse Muscat grape, chock full of buoyant stone fruit, melon and floral aromas. It's an unabashedly fruity, flamboyantly forward grape, but this off-dry example is brisk and balanced.",Muskateller
Germany,"Plush, ripe apple and apricots are dusted in savory, earthy notes of slate and spice. It's a dancing, delicately framed wine with a balance of soft, sweet fruit and zesty acidity. Drink now.",Riesling
Germany,"Sun-ripened mango and pineapple flavors lend a lavish, tropical feel to this off-dry Riesling. At the same time, there's a resolute core of acidity that gives it balance and grace. It's concentrated and fruity but maintains vitality and length.",Riesling
