country,description,variety
Argentina,"The color of this Malbec and the legs it gives off help separate it from the pack. A plush nose shows unabsorbed oak and char along with deep berry and cassis notes. Total saturation on the palate matches the nose, and this tastes of chocolate, mocha, wood spice and rich berry fruits. Oak is currently speaking the loudest on the finish. Drink through 2023.",Malbec
Argentina,"Dusty plum and berry aromas are clean. In the mouth, this is hard and wiry. Salty snappy plum flavors dry out and taste a bit like tin on a raw finish.",Malbec
Argentina,"A mix of blueberry, plum and animal aromas leads to a wiry, clipped palate fueled by tartaric acid. Lightly salted plum flavors are slightly jammy, while a blueberry note is brought back on the finish.",Malbec
Argentina,"This is lightly perfumed with green melon, lychee and papaya aromas. The palate is middle of the road in terms of acidity and snap. Flavors of lychee, peach and nectarine are typical of the variety, while the finish is plump and smooth.",Torrontés
Argentina,"Smooth, earthy, lightly herbal aromas are balanced by fresh red-berry notes. This feels racy and lean in the mouth, with nothing fat or grabby getting in the way of steady raspberry, plum and herbal flavors. A note of olive and leafy green rises up on the finish.",Cabernet Franc
Argentina,"Quara makes good, true Cafayate Torrontés. Aromas of lychee, citrus, tropical fruits and bath oils are vital. This remains solid and clean, with upright acidity. Lime, mango, lychee and banana flavors finish round, with just enough acidity to maintain the wine's character. Drink immediately.",Torrontés
Argentina,"Ripe but subtle aromas of aged balsamic vinegar, blackberry, baked plum and vanilla are alluring and feed into a flush layered palate. Spicy black plum and berry flavors are just rustic and toasty enough, while this blend of 85% Cabernet Sauvignon with Cab Franc and Merlot tastes peppery, deep, a touch hot and on the money. Drink from 2018–2026.",Cabernet Blend
Argentina,"Eight years down the line and this Malbec shows the flaws caused by a harvest marred by freezes. This smells like a mix of green bean and jammy boysenberry. The palate feels saturated but soupy, with outsize acidity. Green-herb flavors mix with baked plum and blueberry, while the finish feels sticky, tannic and heavy.",Malbec
Argentina,"Dusty, generic plum and berry aromas are highly regular. This Malbec is chunky in feel, without much precision. Oaky buttery slightly greasy berry flavors finish hot and creamy, with little to no elegance or cut.",Malbec
Argentina,"This friendly wine offers fresh, jammy berry and cherry aromas. The palate has a bit of grit and stickiness to it, while blackberry, black cherry and boysenberry flavors are ripe, sweet, not pushy and ultimately satisfying.",Malbec
Argentina,"Jammy, soft blueberry aromas are a touch green. This is syrupy, heavy and sticky on the palate, with chocolate, prune and peppery flavors. Tannic and heavy on the finish, this is an overweight Malbec that's lush to the point of being fat.",Malbec
Argentina,"Floral berry, earth and tea aromas are friendly. This Pinot is fresh and perky in feel, with red-fruit and tomato-like acidity pushing flavors of dry cherry, mixed spices, herbs and tomato. This finishes spunky, with crisp acidity and peppery overtones.",Pinot Noir
Argentina,"Candied red-berry aromas are pasty at first, with a twinge of green. In the mouth, this is wiry and jammy feeling, with juicy acids. Herbal, slightly green flavors of olive, toast and berry fruits finish minty and a bit hot.",Cabernet Sauvignon
Argentina,"Raspberry and plum aromas start with a resiny oak covering that turns foresty and briary with airing. This is raisiny and ripe in feel, with a complex mix of berry, fennel and anise flavors. A lush, dense-feeling finish is minty and herbal.",Malbec
Argentina,"This is an unusual, exotic take on Malbec. The bouquet delivers cardamom, sandalwood and spiced black currant aromas. In the mouth, it's grabby with pinching tannins. Blueberry and cardamom flavors end ripe, with decent follow through. Drink now.",Malbec
Argentina,"Ripe borderline raisiny aromas include earth, cedar and graphite scents. This is concentrated, grabby and fully extracted. Flavors of jammy black fruits blend with spicy saucy notes prior to a finish with flavors of tomato, herbs, salt and gamy meat. Firm acidity guarantees this will last at least another five years before falling off.",Malbec
Argentina,Gritty aromas suggest burnt popcorn and match stick. This is a round oily style of Torrontés with briny tropical fruit flavors. A salty note of persimmon carries an O.K. finish.,Torrontés
Argentina,"Aromas of roasted but slightly weedy berry fruits, road tar and latex precede a raw shallow pulling palate. This Malbec tastes of salty and savory black plums, tomatoes and herbs. On the finish, this delivers mostly spaghetti-sauce flavors.",Malbec
Argentina,"Floral berry and plum aromas are also saucy and oaky, and thus discordant. A wobbly tannic palate with green herbal oaky blueberry flavors tastes grassy on the finish. If you know Casarena's wines, this fits the mold.",Bordeaux-style Red Blend
Argentina,Low-intensity apple and pear aromas lead to a tight high-acid mouth. Severe flavors of lemon and lime are fairly sour. A long direct finish is linear and shearing.,Chenin Blanc
Argentina,"Jammy jumbled foxy aromas set up a blocky flat palate. Greasy flavors of buttered-up berry fruits finish without much verve. This is good enough, but just barely.",Malbec
Argentina,"Berry and plum aromas are spicy and saucy, with secondary notes of tomato and oregano. Snappy on the palate, this live-wire Malbec is a bit aggressive and acidic. Toasty oak and mint flavors accent fresh red-berry fruit prior to an energetic yet woody finish that's raw feeling but fair.",Malbec
Argentina,"Aromas of bath oil and exotic fruits like lychee and mango come in front of a short, simple palate that's fresh. Lychee and mango flavors finish in tropical style, with a mild soapy note. The wine is varietally correct and well done.",Torrontés
Argentina,"Pine and other green-leaning aromas blend with lychee and exotic soapy scents to lay the path for a round palate with tropical flavors of lychee, melon and star anise. The finish is full, citrusy and generous.",Torrontés
Argentina,"Toasty blackberry and prune are the key aromas on this plush Cabernet. A generous mouthfeel includes choppy tannins that will mellow in due time. Dark flavors of cassis and blackberry include spice and chocolate notes, while this finishes with ripe flavors of blackberry touched up by chocolaty oak. Drink this calm, slightly flabby Cab through 2021.",Cabernet Sauvignon
Argentina,"Compact aromas of red berries get a boost from oak-based coconut, cedar and graphite notes. This is a blend of three Malbec vineyards of varying elevations; it's bursting with acidity, while high-toned plum and currant flavors are a touch salty. A lively, fiery finish is fueled by latent acidity. Drink through 2020.",Malbec
Argentina,"Horsey plum and pie cherry aromas include a whiff of latex gloves and Band-Aid. This feels rather raw and acidic, with bite. Salty sharp red-fruit flavors finish herbal, with tartaric shear.",Cabernet Sauvignon
Argentina,"Wiry herbal aromas of blueberry and currant lead to an acidic citrusy palate that's choppy and a bit rough. Quick-hitting plum and currant flavors are herbal before hollowing out on a zesty, tannic finish.",Syrah
Argentina,"Rudimentary aromas of lemon-lime and apple set up a flat palate. This tastes of dried apricots before turning decidedly bitter. On the finish, flavors of dried white fruits are modest.",Champagne Blend
Argentina,"Flat and fruitless up front, this smells a bit like a haystack. Plump on the palate, with a sense of grape skins to the mouthfeel, this tastes yeasty, mildly bitter and of nonspecific white fruits.",Sauvignon Blanc
Argentina,"Raisiny aromas lack freshness and lift. Following that lead, this Cabernet feels stewy and heavy, with questionable balance. Herbal flavors of stewed plum and tomato finish chunky and choppy.",Cabernet Sauvignon
Argentina,"Raspberry and plum aromas are woody and narrow in scope. This Cabernet is medium in body but also a bit sticky and resiny. Candied blackberry and black cherry flavors are slightly medicinal, while the finish is oaky, with a lactic flavor and a touch of heat.",Cabernet Sauvignon
Argentina,"Herbal and foresty up front, this Bordeaux blend smells of fig, caramel and berry fruits. Big, tannic and chunky on the palate, this has toasty, chocolaty, burnt flavors and a blackened finish. This offers a lot of power and fruit but it's brusk.",Bordeaux-style Red Blend
Argentina,"Jammy cassis, blackberry and foxy aromas define the nose on this lush, almost ponderous blend of Malbec, Bonarda and Petit Verdot. There's flatness to the palate along with flavors of blackbery, plum and dark, minty oak. A heavy, grabby finish is bold and voluminous.",Red Blend
Argentina,"There's a mix of herbal aromas and raisin on this blend of Malbec, Merlot, Cab Sauvignon and Syrah. In the mouth, it's edgy and rubbery, with rock-hard tannins. Flavors of baked black fruits, tobacco and citrus peel finish raw and rubbery. This will need a lot of air and also hearty  food to show its better side.",Red Blend
Argentina,"Unconvincing aromas are hard to describe. This Malbec sparkler is coarse and foamy on the palate, with burnt peppery slightly bitter flavors of orange and grapefruit.",Sparkling Blend
Argentina,"Sharp red-fruit aromas include notes of vinegar and asphalt. Angular and bumpy on the palate, this is tart and foxy tasting, with a sour, herbal finish.",Malbec-Bonarda
Argentina,This gold-colored stale-smelling Torrontés smells like old apple juice. A chunky flat palate offers bland oxidized bitter flavors. Remnants of apple barely help a bitter finish.,Torrontés
Argentina,"This blend smells outright herbaceous and weedy. An astringent volatile palate is grating, while this tastes much like it smells: weedy and green.",Red Blend
Argentina,"Earthy, spicy aromas of juniper, bell pepper and oak cover up slightly underripe berry scents. This has an acceptable level of tannic scratch and peppery, herbal berry fruit flavors. Like the rest of this Cab, the finish is lightly herbal, green-leaning and hard.",Cabernet Sauvignon
Argentina,"Lean, green and mild, it's aromatically earthy and low on fruit. In the mouth, it's medium-bodied, with herbal, raspberry and red plum flavors. Peppery spice, a green note and raw heat drive the finish.",Malbec
Argentina,"Dense mossy aromas of blackberry are slightly murky. Forget about delicacy on the palate, this is full-bodied and clattering. Blackberry, cassis, black cherry and chocolate flavors finish spicy. This is at maximum ripeness. Drink through 2022.",Malbec
Argentina,"Dense aromas of fig, prune, cassis and blackberry are more mellow than monstrous. In the mouth, this Cabernet feels chunky, ripe and fully tannic. Savory berry fruit flavors and notes of cured meats and jerky finish a bit flat, with a lasting flavor of oaky chocolate. Drink through 2022.",Cabernet Sauvignon
Argentina,"After a huge blast of mocha opens the show, there isn't a lot hiding behind the curtain. The palate is big, sticky and rubbery in feel, while flavors of baked berry, chocolate, oak and coffee finish chewy but also briny and herbal.",Malbec
Argentina,"Slightly baked aromas of raisin, blackberry and caramel are deep and dense more than bright. This Malbec blend is well built, with spicy flavors of berry fruits and cocoa. The oak on the finish is toasty and leads to dryness and a sense of fineness. Drink through 2023.",Malbec Blend
Argentina,"This ripe Malbec offers jammy blueberry aromas that hint at raisin but pull back in the nick of time. A round pulpy palate is home to black cherry, berry and plum flavors supported by loamy earthy notes. A fleshy finish isn't exact but it's friendly. Drink through 2019.",Malbec
Argentina,"Lychee and melon aromas are proper for Torrontés. And while this has Viognier and Chardonnay in the blend, it's Torrontés that dominates via a spritzy, citrusy mouthfeel and flavors of lychee, nectarine and citrus fruits. A fresh, lively but simple finish confirms the wine's refreshment potential.",White Blend
Argentina,"Subtle aromas of minerals, rose petal and red berry are not overdone. In the mouth, it has astringency, hard tannins and an overall narrow feel. Flavors of raspberry and red plum seem sharp and jagged, while oaky mint and heat rise up on the finish. Give this more bottle time and it may improve.",Malbec
Argentina,"Lemon, lychee and a slight oily character create a familiar Torrontés bouquet. A plump body is balanced by citrusy acidity, while flavors of tangerine, mango, passion fruit and lychee finish a touch heavy but vertical. Drink right away.",Torrontés
Argentina,"Saucy, scratchy aromas suggest road tar and compost. This wine is wide in feel, with peppery, spicy raspberry and plum flavors. A minty, herbal tasting finish is neither overbearing nor oaky.",Cabernet Sauvignon
Argentina,"Primary aromas of black cherry and cassis come with minerally notes, herbal hints and a drop of iodine. This feels good but narrow, while saucy, lightly herbal berry flavors end with tolerable saltiness. Drink through 2019.",Malbec
Argentina,"Dark, rubbery, generic berry aromas are a touch cheesy but full. This feels tannic and roasted, while flavors of cassis and berry come across lightly herbal and baked.",Cabernet Sauvignon
Argentina,"Tropical, floral aromas are modest but enchanting. Plump and balanced on the palate, this blend tastes a bit yeasty and creamy, with green banana and herbal infusions. A floral finish shows a touch of bitterness.",Chenin Blanc-Chardonnay
Argentina,"Saucy aromas of molasses, baked beans, tomato and asphalt are gritty. Ditto the palate, which is snappy and hard around the edges. Flavors of leafy, spicy plum and cherry are mildly green and herbal, as is the finish.",Cabernet Sauvignon
Argentina,"This Malbec-led blend opens with inky, hard-packed aromas of black fruits and grilled meats. The palate is on the rough and tough side, while flavors of ripe black fruits are intertwined with strong oak and spice. Overall, this is ripe, bold and heavy.",Red Blend
Argentina,"Initially, this blend of Malbec, Cabernet Sauvignon and Tannat smells murky, leathery and nutty, but with airing it settles and cleans up. Chunky and close to being oversaturated, this full-bodied red tastes of loamy berry and raisin, while the finish is weighty.",Red Blend
Argentina,"Powdery lychee and crystallized mango aromas feed into a texturally good palate with mild oily notes and good acidity. Orange, mango and lychee flavors are straight from the textbook, while lychee is the clearest lasting flavor on the finish. Drink with Indian or spicy Asian foods.",Torrontés
Argentina,"Oaky up front, with aromas of animal, tar and medicinal red-berry fruits, this Petit Verdot is grabby and hard in feel, with a mix of oak, cough drop, berry and peppery flavors. It's big and sticky but solid on the finish.",Petit Verdot
Argentina,"Plum and berry aromas are mildly jammy. This is fast moving on the palate, with racy acidity pushing berry flavors that veer toward tartness but pull back in time. An aggressive finish is also almost sour but not, while oaky coffee and bitter chocolate flavors wrap it up.",Cabernet Sauvignon
Argentina,"Spunky, youthful aromas of wild berry and currant are aggressive but fresh in style. This is a juicy, forward, bright Malbec with boysenberry flavors followed by a short wave of bitter chocolate and toast. It finishes in the same style.",Malbec
Argentina,"This is a more rustic, woody Cabernet than many from Mendoza. The nose suggests asphalt, herbs and spice more than bright fruit. A tannic yet solid body and flavors of coffee, herbs lead to a finish that tastes dry and a bit hollow, with coffee and cocoa notes.",Cabernet Sauvignon
Argentina,"Ripe grapy aromas are more chunky than mammoth. Saturated and muscular on the palate, this tastes of roasted salty blackberry, while the finish is full and meaty in both flavor and texture. Drink this stout full-bodied Malbec through 2022.",Malbec
Argentina,"Ripe blackberry and cassis aromas are toasty at first, then charred as this breathes. A big grabby palate is muscled up but welcoming. Toasty blackberry and cassis flavors remain charred on a loaded lengthy finish. This is Malbec and Petit Verdot fermented and aged together. Drink through 2022.",Malbec-Petit Verdot
Argentina,"Crisp minerally aromas of cherry and blackberry come with toasty spicy accents. This is a tightly built full-bodied Cab with lightly herbal, moderately oaky and saucy flavors of berry and plum. A dry, spicy finish provides for a strong ending.",Cabernet Sauvignon
Argentina,"Strong blackberry aromas come with hints of wood smoke, graphite and minerality. On the palate, it is high in acidity and a touch scouring, but also fresh and lively. Common blackberry and toasty oak flavors end fresh and crisp, but short.",Malbec
Argentina,"Crusty and showing hard spice notes, this opens with staunch aromas. A narrow, pinching palate offers herbal, green-leaning flavors of currant and briary berry. Oak-based chocolate and herbal flavors finish long and strong.",Cabernet Sauvignon
Argentina,"Neutral aromas and a mouthfeel with modest lemony acidity set up pithy citrus flavors and notes of green melon and lychee. The finish on this tropical-tasting wine is creamy and a bit heavy, with lime and green banana flavors. Drink right away.",Torrontés
Argentina,"Brawny, toasty aromas prop up a sturdy oaky nose with a familiar dark-berry core. This Malbec is tightly wound, with wiry acidity. Flavors of blackberry, cassis, spiced plum, chocolate and cardamom finish earthy and mellow, with a lingering note of exotic spice. Drink through 2022.",Malbec
Argentina,"Initially this smells earthy and rubbery, but with airing it shows roasted dark-berry aromas mixed with horsey leather. The palate is full, tannic and scratchy, with black-fruit flavors, pepper, toast and herbal notes. Toast and coffee flavors are found on a hard, tannic finish. Tasted twice with mixed results.",Syrah
Argentina,"Mango, papaya and vanilla aromas are lightly tropical and chunky. The palate is plump and fair. Flavors of green melon, papaya and mixed tropical fruits finish steady and with a reprise of leesy, yeasty vanilla.",Pinot Grigio
Argentina,"Mint and graphite aromas make for a cool nose on this 50/50 Malbec-Cabernet Sauvignon. Rubbery tannins mixed with extracted berry flavors create more noise than poise on the palate. A spicy, herbal, chocolaty finish is punchy and borderline punishing.",Malbec-Cabernet Sauvignon
Argentina,"Berry and cassis aromas turn more saucy with airing. This has a sticky mouthfeel with protruding acids, while flavors of plum and citrus finish short. This is good if you're looking for the basics.",Cabernet Sauvignon
Argentina,"Boysenberry and exotic notes of all-spice and cardamom set this Malbec apart from the field. In the mouth, this is typically angular, with sharp acidity and not much cushion. A one-note, linear flavor of rooty plum is neither fruity nor dry, while the finish fails to rise or fall; it just hums along on a singular beam of acid. Drink from 2018–2030.",Malbec
Argentina,"Firm dark-berry aromas come with cola and leafy notes that feel tannic and gripping but alive. Big berry and black plum flavors are leafy and spicy in style. It finishes tight, but should open and relax with a bit of time in the glass, and would go well with pizza and burgers.",Cabernet Sauvignon
Argentina,"Initial charred aromas yield to aggressive cherry and maple scents. This is a wide, fully tannic load of a Malbec with toasty flavors of burnt wheat bread and maple to go with blackberry and cassis. Toast remains on the finish, which also tastes of licorice. Drink through 2023.",Malbec
Argentina,"Berry and cassis aromas turn more saucy with airing. This has a sticky mouthfeel with protruding acids, while flavors of plum and citrus finish short. This is good if you're looking for the basics.",Cabernet Sauvignon
Argentina,"This round, sticky blend smells burnt and like underbrush, and is very woody, with milk chocolate and plastic aromas. Thick and sticky on the palate, with lactic oak, sweet spice, carob and berry flavors, this is dominated by creamy oak and generic fruit.",Red Blend
Argentina,"Red-fruit aromas of plum and berry are earthy and a bit stalky. The palate is tight, narrow and crisp more than flush. Spice, a touch of green herbs and then raspberry and plum flavors finish herbal, spicy and drying in feel.",Malbec
Argentina,"Plum, cassis, herb and spice aromas make for a full, pleasant bouquet. This shows a thick tannic plodding palate along with quick-hitting berry and cassis flavors. Lasting acidity on the finish creates welcome freshness and length.",Cabernet Sauvignon
Argentina,"Crisp stony lightly herbal plum aromas are moderately smoky. This feels flush and pleasant, with a full body and flavors of plum, cassis and tomato sauce. A controlled composed finish benefits from lasting acidity.",Cabernet Sauvignon
Argentina,"Macho grapy aromas are offset by spunky raspberry scents. Fruity and a bit narrow and grabby across the palate, this delivers Mendoza's patented black-fruit flavors wrapped in chocolaty oak. Spice and oak remain present on a full finish.",Malbec
Argentina,"Tropical fruit aromas are suggestive of bath soap and body oil. This feels obtuse, with depth and an oily sensation to the palate. Chunky, ripe, oily flavors of melon and orange finish loud and ripe, with a deeper set of tropical fruit flavors than your average Argentine Torrontés.",Torrontés
Argentina,"Dark in color, with rooty, leafy aromas of berry fruits that turn flatter with airing, this warm-style Pinot Noir feels wide and grabby, with some flab on its hips. Black plum and toasty flavors simmer on an dull, weighty finish.",Pinot Noir
Argentina,"Mild, almost dilute aromas of strawberry and raspberry aren't fully convincing for Cabernet. In the mouth, however, this weighs in heavy and seeking balance. Flavors of berry and plum are baked, while candied sweetness and blueberry notes drive a jammy finish.",Cabernet Sauvignon
Argentina,Candied cherry and red-plum aromas precede an edgy palate and herbal flavors of plum and berry that are slightly hot and spicy. Raspberry and red-currant flavors on the finish are dilute.,Malbec
Argentina,"Red-fruit aromas of plum and berry are earthy and a bit stalky. The palate is tight, narrow and crisp more than flush. Spice, a touch of green herbs and then raspberry and plum flavors finish herbal, spicy and drying in feel.",Malbec
Argentina,"Tight, snappy aromas of citric red fruit and lemon peel set up a driving, tight palate with brambly berry, spice and herbal flavors. This shows chocolaty oak on the finish and juicy acidity that ensures freshness and long-lasting flavor.",Cabernet Sauvignon
Argentina,"Varietally correct aromas of white flowers, lychee and tropical fruits feed into a plump, creamy palate that's losing some of the steam it probably had when it was bottled. Melon, banana and lychee flavors finish on the heavy, creamy side. Drink immediately.",Torrontés
Argentina,"Aromas of pencil shavings, Band-Aid, prune and black plum are good but shy. This Cabernet feels jammy but also a touch rough and tannic. Blackberry, toast, charred wood, salt and savory plum flavors finish solid but not complex or unique.",Cabernet Sauvignon
Argentina,"Tropical fruit aromas are suggestive of bath soap and body oil. This feels obtuse, with depth and an oily sensation to the palate. Chunky, ripe, oily flavors of melon and orange finish loud and ripe, with a deeper set of tropical fruit flavors than your average Argentine Torrontés.",Torrontés
Argentina,"Plum and berry aromas are infiltrated by touches of leafy green and leather on the nose of this texturally sound, herbal-tasting Malbec. Flavors of plum and spice are a touch weedy, while baking spice and clove notes take over on the finish.",Malbec
Argentina,Candied cherry and red-plum aromas precede an edgy palate and herbal flavors of plum and berry that are slightly hot and spicy. Raspberry and red-currant flavors on the finish are dilute.,Malbec
Argentina,"Aromas of roadside brush, field greens and raspberry are suggestive of fruit punch. The palate is full but somewhat cloying, while jammy red-fruit flavors come with a green note. The finish is jammy like the palate, with a pronounced chocolaty oak flavor.",Malbec
Argentina,"This light and refreshing SB offers mild apple and citrus aromas, a snappy, citric palate and basic flavors of green apple and lime. As a whole, it's a cleansing but fairly standard wine.",Sauvignon Blanc
Argentina,"Peach and powdered sugar aromas are first up, followed by a round palate with oily weight but also zesty acidity. Racy citrus and nectarine flavors finish full and chunky, with a pithy note.",Chardonnay-Viognier
Argentina,"Rubbery, drawn aromas include smoky black fruits and red licorice. A firm, full mouthfeel rings in racy, tangy flavors of plum and berry that turn woody, spicy and dry on the finish.",Cabernet Sauvignon
Argentina,"Herbal black-fruit aromas come with a lot of oak. This is full, chunky and meaty in feel, with green hints and blackberry flavors appearing before a blast of hickory smoke takes over. A high-toast, slightly bitter finish confirms the strong oaky character.",Cabernet Sauvignon
Argentina,"Earthy, spicy, concentrated red-berry aromas give way to a full palate with spicy, oaky lead flavors and secondary red-fruit notes. Dry spice and a dusting of chocolate rise up on a simple finish.",Cabernet Sauvignon
Argentina,"Dark aromas suggest shoe polish and roasted black fruits. This feels rubbery and chunky, while the flavor profile includes quick pokes of cherry, plum and rubbery berry before a salty-tasting finish.",Malbec
Argentina,"Cherry, dry spice and leather aromas are detectable on an otherwise lean and dilute nose. Like the bouquet, the palate on this basic Malbec is thin. Flavors of generic berry fruits finish earthy and scratchy.",Malbec
Argentina,"Pine and other atypical aromas for most red wines precede a clampy, tannic palate with funky plum, herb and mildly bitter flavors. A short, hard finish is choppy, with hard tannins and herbal tartness.",Petit Verdot
Argentina,"Aromas of pencil shavings, Band-Aid, prune and black plum are good but shy. This Cabernet feels jammy but also a touch rough and tannic. Blackberry, toast, charred wood, salt and savory plum flavors finish solid but not complex or unique.",Cabernet Sauvignon
Argentina,"Floral berry and plum aromas are touched up by notes of thyme and cardamom. Fresh grippy acidity keeps this lively, while flavors of berry and plum are spicy and suggestive of tomato sauce. Saucy, herbal flavors rise up on a high-acid finish.",Cabernet Sauvignon
Argentina,"Orange peel and lychee aromas are typical of the variety. This feels straightforward, juicy, clean and fresh, with tangy acidity. Flavors of lime, lychee and tangerine finish bright and snappy.",Torrontés
Argentina,"Slightly oily, gritty aromas match wits with melon and lychee scents. The palate is propped up by adequate acidity, while flavors of melon, orange and lychee are typical and end sweet and tropical.",Torrontés
Argentina,"Stalky aromas make for a sketchy opening. In the mouth, this is blocky and grabby in feel. Burnt, underripe flavors of berry fruits are herbal and finish with grassy notes.",Malbec
Argentina,"Candied red-fruit aromas are thin and limited. This is edgy, rubbery and tannic in feel, with rudimentary raspberry and red-plum flavors. A juicy finish is lean and tastes medicinal.",Malbec
Argentina,"This is defined by its oak dominance. Aromas of hot wood, vanilla, sawdust and dry, leafy plum set up a resiny, all-wood palate with sharp acidity. Hot, toasty flavors of berry fruits and campfire smoke finish resiny and low on fruit.",Pinot Noir
Argentina,"This overoaked Malbec smells almost entirely of clove and chocolate. It's bulky and creamy in feel, with bland, stewy berry flavors and a blanket of oaky clove. Oak spice and heat control the finish.",Malbec
Argentina,"Roasted, barnyard, leathery aromas of lemony oak and tomato are far from ideal. This has a scratchy, tartaric feel to it, while herbal raspberry flavors are backed by a mulchy aftertaste. It's stewed on the finish and weedy.",Malbec
Argentina,Flower and hay aromas lead to simple pear and spice flavors in this basic white. Mild woody notes show on the finish. Drink now.,Chardonnay
Argentina,"This is nice and hints at greater things, but ultimately it's more modest and fluffy than substantive. Aromas of oak resin, baked apple and vanilla introduce a palate with mild acidity and not much structure. Vanilla, caramel, banana and honey- dew flavors finish soft.",Chardonnay
Argentina,"Currant and spice aromas are subdued and solid. A strapping tight palate with strong tannins delivers roasted plum, cassis, spice and chocolate flavors prior to a dry spicy finish that holds its own.",Cabernet Sauvignon
Argentina,Jammy blueberry and boysenberry aromas include graphite and ink notes. This feels jammy to the point of being sluggish and heavy. Syrupy but not sweet flavors of herbal black fruits finish with a lasting gamy note.,Malbec
Argentina,"Solid dark-berry aromas are dense and deep. This has a plump forward fruity palate with concentrated, toasty flavors of blackberry and dark plum. On the finish, this remains fruity and compact, with more than enough body weight.",Cabernet Sauvignon
Argentina,"Popcorn and butter are the lead aromas, and they give way to dusty baked apple over time. This wine feels round, but with just enough acidity. Flavors of candy corn, vanilla, spun sugar and ripe stone fruits finish sweet and fleshy.",Chardonnay
Argentina,"Grassy, lightly weedy aromas set up a palate with sweet citrus and melony flavors. This is sticky and a touch mealy come finishing time, with a fleshy, unctuous feel and only modest structure and acidity.",Torrontés
