country,description,variety
Mexico,"Spicy and exotic smelling, this bears aromas of tobacco, blueberry and cumin. It feels heavy, grabby and supertannic, with mildly herbal flavors of peppery berry fruit and chocolate. Prune, berry and earth notes work the finish on this meaty, tannic big boy.",Bordeaux-style Red Blend
Mexico,"Winemaker/owner Pau Pijoan's tribute to fast, fun cars is encapsulated in this racy red blend of Ruby Cabernet (motor), Petit Sirah (turbo charger), Barbera (transmission) and Colombard (suspension). It's strapping and shows a lot of acid, while the flavors of berry, cherry and chocolate are good but monotone. This is fruity, flavorful and not complicated.",Red Blend
Mexico,"The peach, pear and apple aromas get no interference from oak. The mouthfeel is friendly, while flavors of green melon, pear and spice work well together. It finishes sweet but with a touch of spice and vanilla.",White Blend
Mexico,"Here's a true Sauvignon Blanc with spunky green aromas and plenty of grapefruit. It feels citric and lemony on the tongue, with citrusy flavors of tangerine and lime. It finishes tight and zesty, like a good Sauvignon Blanc should.",Sauvignon Blanc
Mexico,"This is slightly stalky and burnt smelling, with briary aromas. It feels choppy, with roasted flavors of plum and berry. It finishes with the same herbal, Bordeaux-style flavors that give the palate an Old World character. Not as good as the 2008.",Red Blend
Mexico,"Opaque in color, with smoky aromas of bacon, berry purée, latex and dried herbs. Feels saturated and grapy, with big, plodding tannins in front of soft, stewed flavors of blackberry and prune. Darkens up on what amounts to a soft finish. Pure Grenache.",Grenache
Mexico,"Neutral on the bouquet, this has clean, stony aromas that set up a surprisingly plump palate with melon and lychee flavors. It finishes a bit soft, but with more than acceptable acidity. It won't age for too long, but it sure tastes good now.",White Blend
Mexico,"Dense cherry, plum and black currant aromas carry a note of latex as well as bacon. Feels fiery and powerful, not elegant or lifted, with untamed, slightly syrupy flavors of plum, berry, chocolate and cough medicine. Powerful Shiraz that seems more boozy than its listed 14% abv.",Shiraz
Mexico,"Dense, heavy and meaty on the nose, this has stewed plum and earth notes. Heavy tannins make it grabby, while the flavors suggest stewed black fruits. Roasted tasting, it hits hard on the finish. Entirely different from Italian Nebbiolo.",Nebbiolo
Mexico,"Overtly simple and drying, this has crisp acidity and oily flavors of popcorn and tart white fruits. It finishes with citrus and astringency. This would likely be better with seafood or salad than on its own.",Sauvignon Blanc
Mexico,"Smoky, oaky and peppery up front, with balsamic berry aromas and tree bark notes. It feels thick, creamy and a little awkward, with heavy oak flavors, related spice and savory, stewy notes. As it unwinds it's chunky and heavy, with a sweet molasses note on the finish.",Cabernet Sauvignon
Mexico,"Hot and heavy from first whiff, this has plastic and red pepper notes, with a sweet strawberry aroma. It's thick as syrup on the palate, with extracted, fully ripe flavors of blackberry and raisin. Maat means “the land” in a native language; but it could mean syrupy sweet. Hard to believe this is just 13.5% abv.",Grenache
Mexico,"This wine opens with pepper, leather and stalky berry aromas. It feels sticky in the mouth, with stalky, buttery berry flavors that fall off rather quickly. Sweet but that's about it on the finish. Tempranillo, Syrah, Grenache and Mourvèdre.",Red Blend
Mexico,"This has aromas of smashed berry and red licorice candy. It feels raspy and resiny, with flavors of toasted oak and jammy blueberry and raspberry. It's wiry and lacking finesse on the finish.",Shiraz
Mexico,"Waxy smelling and gritty, with an oily overtone, this feels O.K. but sort of wayward, with flavors of bitter grapefruit and matchstick. Simple and somewhat sour on the finish.",Chardonnay
Mexico,"This is nutty and minerally on the nose, and barely citric as far as fruit aromas go. On the palate, there's bitterness, with a grapefruit tang making up the flavor profile. A blend of Sauvignon Blanc and Chardonnay.",White Blend
Mexico,"Baked and bricky smelling, with notes of applesauce and blueberry. It feels snappy with edgy tannins. Cranberry and spice flavors lead to a scouring finish; 100% Carignan.",Carignan
Mexico,"Slightly sweet on the nose, but wheaty and grassy too. It tastes like clay and bubble gum, with a touch of peach and citrus. It's acidic on the finish.",Cinsault
Mexico,"Briary on the nose, this has disjointed aromas of plum, cinnamon and wet cement. It's jumpy, acidic and not very well balanced, with tart red-plum and cherry flavors. It feels edgy and gritty, with an almost sour finish.",Cabernet Sauvignon
